DATE,Core_inflation,FEDFUNDS,CURRCIR
1954-07-01,,0.80,
1954-08-01,,1.22,
1954-09-01,,1.07,
1954-10-01,,0.85,
1954-11-01,,0.83,
1954-12-01,,1.28,
1955-01-01,,1.39,
1955-02-01,,1.29,
1955-03-01,,1.35,
1955-04-01,,1.43,
1955-05-01,,1.43,
1955-06-01,,1.64,
1955-07-01,,1.68,
1955-08-01,,1.96,
1955-09-01,,2.18,
1955-10-01,,2.24,
1955-11-01,,2.35,
1955-12-01,,2.48,
1956-01-01,,2.45,
1956-02-01,,2.50,
1956-03-01,,2.50,
1956-04-01,,2.62,
1956-05-01,,2.75,
1956-06-01,,2.71,
1956-07-01,,2.75,
1956-08-01,,2.73,
1956-09-01,,2.95,
1956-10-01,,2.96,
1956-11-01,,2.88,
1956-12-01,,2.94,
1957-01-01,,2.84,
1957-02-01,,3.00,
1957-03-01,,2.96,
1957-04-01,,3.00,
1957-05-01,,3.00,
1957-06-01,,3.00,
1957-07-01,,2.99,
1957-08-01,,3.24,
1957-09-01,,3.47,
1957-10-01,,3.50,
1957-11-01,,3.28,
1957-12-01,,2.98,
1958-01-01,,2.72,
1958-02-01,,1.67,
1958-03-01,,1.20,
1958-04-01,,1.26,
1958-05-01,,0.63,
1958-06-01,,0.93,
1958-07-01,,0.68,
1958-08-01,,1.53,
1958-09-01,,1.76,
1958-10-01,,1.80,
1958-11-01,,2.27,
1958-12-01,,2.42,
1959-01-01,,2.48,
1959-02-01,,2.43,
1959-03-01,,2.80,
1959-04-01,,2.96,
1959-05-01,,2.90,
1959-06-01,,3.39,
1959-07-01,,3.47,
1959-08-01,,3.50,
1959-09-01,,3.76,
1959-10-01,,3.98,
1959-11-01,,4.00,
1959-12-01,,3.99,
1960-01-01,,3.99,32.041
1960-02-01,,3.97,31.583
1960-03-01,,3.84,31.626
1960-04-01,,3.92,31.714
1960-05-01,,3.85,31.716
1960-06-01,,3.32,31.920
1960-07-01,,3.23,32.175
1960-08-01,,2.98,32.092
1960-09-01,,2.60,32.152
1960-10-01,,2.47,32.179
1960-11-01,,2.44,32.458
1960-12-01,,1.98,33.010
1961-01-01,,1.45,32.300
1961-02-01,,2.54,31.840
1961-03-01,,2.02,31.836
1961-04-01,,1.49,31.916
1961-05-01,,1.98,31.999
1961-06-01,,1.73,32.239
1961-07-01,,1.17,32.585
1961-08-01,,2.00,32.564
1961-09-01,,1.88,32.718
1961-10-01,,2.26,32.861
1961-11-01,,2.61,33.233
1961-12-01,,2.33,33.942
1962-01-01,,2.15,33.327
1962-02-01,,2.37,32.845
1962-03-01,,2.85,32.991
1962-04-01,,2.78,33.231
1962-05-01,,2.36,33.316
1962-06-01,,2.68,33.617
1962-07-01,,2.71,33.985
1962-08-01,,2.93,33.960
1962-09-01,,2.90,34.007
1962-10-01,,2.90,34.103
1962-11-01,,2.94,34.562
1962-12-01,,2.93,35.265
1963-01-01,,2.92,34.616
1963-02-01,,3.00,34.222
1963-03-01,,2.98,34.424
1963-04-01,,2.90,34.715
1963-05-01,,3.00,34.865
1963-06-01,,2.99,35.281
1963-07-01,,3.02,35.746
1963-08-01,,3.49,35.788
1963-09-01,,3.48,35.945
1963-10-01,,3.50,36.110
1963-11-01,,3.48,36.659
1963-12-01,,3.38,37.587
1964-01-01,,3.48,36.873
1964-02-01,,3.48,36.380
1964-03-01,,3.43,36.599
1964-04-01,,3.47,36.883
1964-05-01,,3.50,37.095
1964-06-01,,3.50,37.523
1964-07-01,,3.42,37.934
1964-08-01,,3.50,38.026
