Date,NASDAQ,S&P,IT_ETF,United_States_Oil_Fund(USO),Farming_ETF,MSCI_World,Emerging_markets,DAX
1971-02-05,100.000000,,,,,,,
1971-02-08,100.839996,,,,,,,
1971-02-09,100.760002,,,,,,,
1971-02-10,100.690002,,,,,,,
1971-02-11,101.449997,,,,,,,
1971-02-12,102.050003,,,,,,,
1971-02-16,102.190002,,,,,,,
1971-02-17,101.739998,,,,,,,
1971-02-18,101.419998,,,,,,,
1971-02-19,100.699997,,,,,,,
1971-02-22,99.680000,,,,,,,
1971-02-23,99.720001,,,,,,,
1971-02-24,100.639999,,,,,,,
1971-02-25,101.230003,,,,,,,
1971-02-26,101.339996,,,,,,,
1971-03-01,101.779999,,,,,,,
1971-03-02,101.839996,,,,,,,
1971-03-03,102.070000,,,,,,,
1971-03-04,102.779999,,,,,,,
1971-03-05,103.000000,,,,,,,
1971-03-08,104.230003,,,,,,,
1971-03-09,104.410004,,,,,,,
1971-03-10,104.139999,,,,,,,
1971-03-11,104.260002,,,,,,,
1971-03-12,104.500000,,,,,,,
1971-03-15,105.129997,,,,,,,
1971-03-16,105.559998,,,,,,,
1971-03-17,105.500000,,,,,,,
1971-03-18,105.879997,,,,,,,
1971-03-19,105.769997,,,,,,,
1971-03-22,105.370003,,,,,,,
1971-03-23,105.110001,,,,,,,
1971-03-24,104.699997,,,,,,,
1971-03-25,104.599998,,,,,,,
1971-03-26,105.070000,,,,,,,
1971-03-29,105.199997,,,,,,,
1971-03-30,105.440002,,,,,,,
1971-03-31,105.970001,,,,,,,
1971-04-01,106.339996,,,,,,,
1971-04-02,106.860001,,,,,,,
1971-04-05,107.169998,,,,,,,
1971-04-06,107.559998,,,,,,,
1971-04-07,108.059998,,,,,,,
1971-04-08,108.379997,,,,,,,
1971-04-12,108.870003,,,,,,,
1971-04-13,108.849998,,,,,,,
1971-04-14,109.080002,,,,,,,
1971-04-15,109.690002,,,,,,,
1971-04-16,109.959999,,,,,,,
1971-04-19,110.160004,,,,,,,
1971-04-20,109.529999,,,,,,,
1971-04-21,109.519997,,,,,,,
1971-04-22,109.989998,,,,,,,
1971-04-23,110.690002,,,,,,,
1971-04-26,111.129997,,,,,,,
1971-04-27,111.690002,,,,,,,
1971-04-28,112.370003,,,,,,,
1971-04-29,112.459999,,,,,,,
1971-04-30,112.300003,,,,,,,
1971-05-03,111.349998,,,,,,,
1971-05-04,111.769997,,,,,,,
1971-05-05,111.680000,,,,,,,
1971-05-06,111.059998,,,,,,,
1971-05-07,110.660004,,,,,,,
