EventCode,NumMentions,Actor1Code,Actor1Name,Actor2Code,Actor2Name,NumArticles,DATEADDED
020,10,,,CZE,PILSEN,10,20230524060000
080,10,,,OPP,PROTESTER,10,20230524060000
114,10,AGR,FARMER,GOV,GOVERNMENT,10,20230524060000
114,10,BUS,BUSINESS,GOV,GOVERNMENT,10,20230524060000
180,20,COP,POLICE,CRM,CRIMINAL,10,20230524060000
060,10,COP,POLICE,CVL,VILLAGE,10,20230524060000
060,10,COP,POLICE,MED,MEDIA,10,20230524060000
020,10,COPBUS,POLICE,UAF,GUNMAN,10,20230524060000
090,10,COPBUS,POLICE,UAF,GUNMAN,10,20230524060000
180,10,COPCOP,POLICE,COP,POLICE,10,20230524060000
014,10,CRM,CRIMINAL,,,10,20230524060000
160,10,CVL,CIVILIAN,,,10,20230524060000
046,10,EDU,PROFESSOR,MED,JOURNALIST,10,20230524060000
084,10,GOV,GOVERNMENT,CVL,TOURIST,10,20230524060000
043,10,GOV,MINISTRY,IDN,KALIMANTAN,10,20230524060000
026,10,GOV,CABINET,LEG,CONGRESS,10,20230524060000
080,10,GOV,AUTHORITIES,LEG,REPRESENTATIVES,10,20230524060000
051,10,HINAST700,YOGA,,,10,20230524060000
070,10,HLH,WELFARE WORKER,IDN,KALIMANTAN,10,20230524060000
042,10,IDN,KALIMANTAN,GOV,MINISTRY,10,20230524060000
051,10,JEW,RABBI,,,10,20230524060000
130,10,JUD,PROSECUTOR,GOV,PRESIDENT,10,20230524060000
084,10,LEG,CHAMBER,,,10,20230524060000
0833,10,MDV,MALE,,,10,20230524060000
046,10,MED,JOURNALIST,EDU,PROFESSOR,10,20230524060000
111,10,MED,JOURNALIST,OPP,ACTIVIST,10,20230524060000
120,10,MIL,MILITARY,COP,CONSTAB,10,20230524060000
0331,10,MNCGBRMED,VODAFONE,,,10,20230524060000
084,10,MNCUSA,DISNEY,LAB,EMPLOYEE,10,20230524060000
190,10,REB,UPRISING,MIL,ARMY OFFICER,10,20230524060000
190,10,REBMIL,REBELLION,,,10,20230524060000
012,10,TUR,TURKEY,,,10,20230524060000
072,10,UAF,FIGHTER,MDV,MALE,10,20230524060000
060,10,scn,SICILIAN,EUR,EUROPEAN,10,20230524060000
071,10,scn,SICILIAN,EUR,EUROPEAN,10,20230524060000
112,10,,,ELI,ACTOR,10,20230524054500
051,10,AGR,FARMER,BUS,INDUSTRY,10,20230524054500
110,10,BUS,ENTREPRENEUR,BUSBUS,INVESTOR,10,20230524054500
180,10,BUS,BUSINESS,COP,POLICE,10,20230524054500
130,10,BUS,INDUSTRY,ELI,ACTOR,10,20230524054500
0356,20,BUS,BOSS,LEG,GENERAL ASSEMBLY,20,20230524054500
120,10,BUSBUS,INVESTOR,BUS,ENTREPRENEUR,10,20230524054500
020,10,COPMIL,POLICE,CRM,CRIMINAL,10,20230524054500
090,10,CRM,CRIMINAL,COPMIL,POLICE,10,20230524054500
125,10,CVL,VILLAGE,,,10,20230524054500
186,10,CVL,COMMUNITY,,,10,20230524054500
194,10,CVL,COMMUNITY,,,10,20230524054500
010,10,CVLBUS,TOURIST,,,10,20230524054500
090,10,DEU,BAVARIA,,,10,20230524054500
040,10,DOM,DOMINICAN,GOV,PRESIDENT,10,20230524054500
112,10,ELI,ACTOR,,,10,20230524054500
040,10,GOV,PRESIDENT,DOM,DOMINICAN,10,20230524054500
031,10,GOV,BUREAUCRAT,EDU,COLLEGE,10,20230524054500
051,10,GOV,PRESIDENT,PTY,PARTY LEADER,10,20230524054500
111,10,GOV,GOVERNMENT,nep,NEPALI,10,20230524054500
020,10,GOVCOP,AUTHORITIES,REF,REFUGEE,10,20230524054500
1822,10,HIN,HINDU,,,10,20230524054500
020,10,HLH,NURSE,RUS,TOMSK,10,20230524054500
080,10,IDN,PAPUA,,,10,20230524054500
040,10,IDNCOP,GORONTALO,,,10,20230524054500
020,10,ITA,CAMPANIA,,,10,20230524054500
013,10,LAB,WORKER,,,10,20230524054500
020,10,LAB,EMPLOYEE,BUS,COMPANY,10,20230524054500
051,10,MIL,MARINE CORP,AGR,FARMER,10,20230524054500
020,10,MOS,MUSLIM,,,10,20230524054500
051,10,NPL,KOSHI,,,10,20230524054500
