,Average
1960-04-04,5.55985401459854
1960-04-11,5.55985401459854
1960-04-18,5.55985401459854
1960-04-25,5.55985401459854
1960-05-02,5.76714285714286
1960-05-09,5.76714285714286
1960-05-16,5.76714285714286
1960-05-23,5.76714285714286
1960-05-30,5.76714285714286
1960-06-06,5.59197080291971
1960-06-13,5.59197080291971
1960-06-20,5.59197080291971
1960-06-27,5.59197080291971
1960-07-04,5.88014184397163
1960-07-11,5.88014184397163
1960-07-18,5.88014184397163
1960-07-25,5.88014184397163
1960-08-01,6.19459459459459
1960-08-08,6.19459459459459
1960-08-15,6.19459459459459
1960-08-22,6.19459459459459
1960-08-29,6.19459459459459
1960-09-05,6.1
1960-09-12,6.1
1960-09-19,6.1
1960-09-26,6.1
1960-10-03,6.41920529801325
1960-10-10,6.41920529801325
1960-10-17,6.41920529801325
1960-10-24,6.41920529801325
1960-10-31,6.41920529801325
1960-11-07,6.33841059602649
1960-11-14,6.33841059602649
1960-11-21,6.33841059602649
1960-11-28,6.33841059602649
1960-12-05,6.5968152866242
1960-12-12,6.5968152866242
1960-12-19,6.5968152866242
1960-12-26,6.5968152866242
1961-01-02,6.5968152866242
1961-01-09,6.5968152866242
1961-01-16,6.5968152866242
1961-01-23,6.5968152866242
1961-01-30,6.5968152866242
1961-02-06,6.77950310559006
1961-02-13,6.77950310559006
1961-02-20,6.77950310559006
1961-02-27,6.77950310559006
1961-03-06,6.77594936708861
1961-03-13,6.77594936708861
1961-03-20,6.77594936708861
1961-03-27,6.77594936708861
1961-04-03,6.795
1961-04-10,6.795
1961-04-17,6.795
1961-04-24,6.795
1961-05-01,6.81604938271605
1961-05-08,6.81604938271605
1961-05-15,6.81604938271605
1961-05-22,6.81604938271605
1961-05-29,6.81604938271605
1961-06-05,6.62151898734177
1961-06-12,6.62151898734177
1961-06-19,6.62151898734177
1961-06-26,6.62151898734177
1961-07-03,6.56624203821656
1961-07-10,6.56624203821656
1961-07-17,6.56624203821656
1961-07-24,6.56624203821656
1961-07-31,6.56624203821656
1961-08-07,6.2
1961-08-14,6.2
1961-08-21,6.2
1961-08-28,6.2
1961-09-04,6.29733333333333
1961-09-11,6.29733333333333
1961-09-18,6.29733333333333
1961-09-25,6.29733333333333
1961-10-02,6.00416666666667
1961-10-09,6.00416666666667
1961-10-16,6.00416666666667
1961-10-23,6.00416666666667
1961-10-30,6.00416666666667
1961-11-06,5.5963503649635
1961-11-13,5.5963503649635
1961-11-20,5.5963503649635
1961-11-27,5.5963503649635
1961-12-04,5.51940298507463
1961-12-11,5.51940298507463
1961-12-18,5.51940298507463
1961-12-25,5.51940298507463
1962-01-01,5.44503816793893
1962-01-08,5.44503816793893
1962-01-15,5.44503816793893
1962-01-22,5.44503816793893
1962-01-29,5.44503816793893
1962-02-05,5.41384615384615
1962-02-12,5.41384615384615
1962-02-19,5.41384615384615
1962-02-26,5.41384615384615
1962-03-05,5.35271317829457
1962-03-12,5.35271317829457
1962-03-19,5.35271317829457
1962-03-26,5.35271317829457
1962-04-02,5.28139534883721
1962-04-09,5.28139534883721
1962-04-16,5.28139534883721
1962-04-23,5.28139534883721
1962-04-30,5.28139534883721
1962-05-07,5.1260162601626
1962-05-14,5.1260162601626
