,NASDAQ,S&P,IT_ETF,United_States_Oil_Fund(USO),Farming_ETF,MSCI_World,Emerging_markets,DAX
1971-02-08,100.839996,,,,,,,
1971-02-15,102.050003,,,,,,,
1971-02-22,99.68,,,,,,,
1971-03-01,101.779999,,,,,,,
1971-03-08,104.230003,,,,,,,
1971-03-15,105.129997,,,,,,,
1971-03-22,105.370003,,,,,,,
1971-03-29,105.199997,,,,,,,
1971-04-05,107.169998,,,,,,,
1971-04-12,108.870003,,,,,,,
1971-04-19,110.160004,,,,,,,
1971-04-26,111.129997,,,,,,,
1971-05-03,111.349998,,,,,,,
1971-05-10,110.150002,,,,,,,
1971-05-17,109.150002,,,,,,,
1971-05-24,108.419998,,,,,,,
1971-05-31,108.25,,,,,,,
1971-06-07,110.760002,,,,,,,
1971-06-14,109.57,,,,,,,
1971-06-21,106.5,,,,,,,
1971-06-28,106.449997,,,,,,,
1971-07-05,108.769997,,,,,,,
1971-07-12,111.239998,,,,,,,
1971-07-19,109.370003,,,,,,,
1971-07-26,109.349998,,,,,,,
1971-08-02,105.589996,,,,,,,
1971-08-09,103.18,,,,,,,
1971-08-16,107.860001,,,,,,,
1971-08-23,108.260002,,,,,,,
1971-08-30,108.709999,,,,,,,
1971-09-06,109.980003,,,,,,,
1971-09-13,110.220001,,,,,,,
1971-09-20,109.989998,,,,,,,
1971-09-27,108.18,,,,,,,
1971-10-04,109.959999,,,,,,,
1971-10-11,110.709999,,,,,,,
1971-10-18,109.059998,,,,,,,
1971-10-25,106.290001,,,,,,,
1971-11-01,103.690002,,,,,,,
1971-11-08,105.43,,,,,,,
1971-11-15,103.440002,,,,,,,
1971-11-22,101.790001,,,,,,,
1971-11-29,103.080002,,,,,,,
1971-12-06,106.919998,,,,,,,
1971-12-13,109.160004,,,,,,,
1971-12-20,111.5,,,,,,,
1971-12-27,111.699997,,,,,,,
1972-01-03,113.650002,,,,,,,
1972-01-10,116.099998,,,,,,,
1972-01-17,116.93,,,,,,,
1972-01-24,116.489998,,,,,,,
1972-01-31,118.870003,,,,,,,
1972-02-07,121.139999,,,,,,,
1972-02-14,122.260002,,,,,,,
1972-02-21,123.400002,,,,,,,
1972-02-28,124.940002,,,,,,,
1972-03-06,127.879997,,,,,,,
1972-03-13,127.339996,,,,,,,
1972-03-20,127.529999,,,,,,,
1972-03-27,127.559998,,,,,,,
1972-04-03,128.059998,,,,,,,
1972-04-10,131.759995,,,,,,,
1972-04-17,133.740005,,,,,,,
1972-04-24,131.899994,,,,,,,
1972-05-01,130.160004,,,,,,,
1972-05-08,128.619995,,,,,,,
1972-05-15,130.339996,,,,,,,
1972-05-22,132.380005,,,,,,,
1972-05-29,133.949997,,,,,,,
1972-06-05,132.740005,,,,,,,
1972-06-12,130.380005,,,,,,,
1972-06-19,130.759995,,,,,,,
1972-06-26,129.309998,,,,,,,
1972-07-03,130.589996,,,,,,,
1972-07-10,130.850006,,,,,,,
1972-07-17,128.399994,,,,,,,
1972-07-24,128.770004,,,,,,,
1972-07-31,127.75,,,,,,,
1972-08-07,130.970001,,,,,,,
1972-08-14,131.699997,,,,,,,
1972-08-21,131.289993,,,,,,,
1972-08-28,129.770004,,,,,,,
1972-09-04,130.699997,,,,,,,
1972-09-11,128.259995,,,,,,,
1972-09-18,127.610001,,,,,,,
1972-09-25,126.82,,,,,,,
1972-10-02,129.300003,,,,,,,
1972-10-09,128.509995,,,,,,,
1972-10-16,125.870003,,,,,,,
1972-10-23,128.660004,,,,,,,
1972-10-30,129.460007,,,,,,,
1972-11-06,133.580002,,,,,,,
1972-11-13,132.770004,,,,,,,
1972-11-20,132.119995,,,,,,,
1972-11-27,132.570007,,,,,,,
1972-12-04,134.139999,,,,,,,
1972-12-11,134.830002,,,,,,,
1972-12-18,132.539993,,,,,,,
1972-12-25,131.279999,,,,,,,
1973-01-01,133.729996,,,,,,,
1973-01-08,136.020004,,,,,,,
1973-01-15,134.600006,,,,,,,
1973-01-22,133.149994,,,,,,,
1973-01-29,128.460007,,,,,,,
1973-02-05,126.0,,,,,,,
1973-02-12,126.879997,,,,,,,
1973-02-19,124.550003,,,,,,,
1973-02-26,121.269997,,,,,,,
1973-03-05,120.550003,,,,,,,
1973-03-12,121.860001,,,,,,,
1973-03-19,119.940002,,,,,,,
1973-03-26,115.540001,,,,,,,
1973-04-02,115.790001,,,,,,,
1973-04-09,114.010002,,,,,,,
1973-04-16,114.550003,,,,,,,
1973-04-23,113.019997,,,,,,,
1973-04-30,107.849998,,,,,,,
1973-05-07,110.480003,,,,,,,
1973-05-14,106.459999,,,,,,,
1973-05-21,100.760002,,,,,,,
1973-05-28,105.169998,,,,,,,
1973-06-04,100.769997,,,,,,,
1973-06-11,103.040001,,,,,,,
1973-06-18,100.769997,,,,,,,
1973-06-25,99.43,,,,,,,
1973-07-02,100.150002,,,,,,,
1973-07-09,100.010002,,,,,,,
1973-07-16,103.970001,,,,,,,
1973-07-23,107.75,,,,,,,
1973-07-30,108.879997,,,,,,,
1973-08-06,107.209999,,,,,,,
1973-08-13,104.349998,,,,,,,
1973-08-20,102.669998,,,,,,,
1973-08-27,102.910004,,,,,,,
1973-09-03,104.870003,,,,,,,
1973-09-10,106.25,,,,,,,
1973-09-17,106.269997,,,,,,,
1973-09-24,109.690002,,,,,,,
1973-10-01,110.970001,,,,,,,
1973-10-08,113.169998,,,,,,,
1973-10-15,113.129997,,,,,,,
1973-10-22,112.290001,,,,,,,
1973-10-29,112.089996,,,,,,,
1973-11-05,107.209999,,,,,,,
1973-11-12,105.080002,,,,,,,
1973-11-19,99.0,,,,,,,
1973-11-26,94.129997,,,,,,,
1973-12-03,91.970001,,,,,,,
1973-12-10,93.540001,,,,,,,
1973-12-17,89.129997,,,,,,,
1973-12-24,88.669998,,,,,,,
1973-12-31,92.190002,,,,,,,
1974-01-07,94.470001,,,,,,,
1974-01-14,92.400002,,,,,,,
1974-01-21,94.480003,,,,,,,
1974-01-28,95.019997,,,,,,,
1974-02-04,92.889999,,,,,,,
1974-02-11,91.129997,,,,,,,
1974-02-18,90.980003,,,,,,,
1974-02-25,92.720001,,,,,,,
1974-03-04,93.800003,,,,,,,
1974-03-11,95.870003,,,,,,,
1974-03-18,95.370003,,,,,,,
1974-03-25,95.349998,,,,,,,
1974-04-01,91.900002,,,,,,,
1974-04-08,89.919998,,,,,,,
1974-04-15,89.419998,,,,,,,
1974-04-22,90.269997,,,,,,,
1974-04-29,86.459999,,,,,,,
1974-05-06,87.309998,,,,,,,
1974-05-13,83.18,,,,,,,
1974-05-20,81.43,,,,,,,
1974-05-27,81.449997,,,,,,,
1974-06-03,81.080002,,,,,,,
1974-06-10,83.919998,,,,,,,
1974-06-17,81.540001,,,,,,,
1974-06-24,78.879997,,,,,,,
1974-07-01,75.389999,,,,,,,
1974-07-08,70.959999,,,,,,,
1974-07-15,71.980003,,,,,,,
1974-07-22,73.419998,,,,,,,
1974-07-29,71.489998,,,,,,,
1974-08-05,69.669998,,,,,,,
1974-08-12,70.360001,,,,,,,
1974-08-19,65.129997,,,,,,,
1974-08-26,62.939999,,,,,,,
1974-09-02,62.369999,,,,,,,
1974-09-09,59.369999,,,,,,,
1974-09-16,57.240002,,,,,,,
1974-09-23,59.66,,,,,,,
1974-09-30,55.669998,,,,,,,
1974-10-07,56.57,,,,,,,
1974-10-14,61.73,,,,,,,
1974-10-21,63.82,,,,,,,
1974-10-28,62.5,,,,,,,
1974-11-04,64.620003,,,,,,,
1974-11-11,66.720001,,,,,,,
1974-11-18,62.09,,,,,,,
1974-11-25,61.68,,,,,,,
1974-12-02,61.66,,,,,,,
1974-12-09,57.91,,,,,,,
1974-12-16,58.849998,,,,,,,
1974-12-23,57.860001,,,,,,,
1974-12-30,58.779999,,,,,,,
1975-01-06,61.740002,,,,,,,
1975-01-13,63.34,,,,,,,
1975-01-20,64.440002,,,,,,,
1975-01-27,67.040001,,,,,,,
1975-02-03,70.730003,,,,,,,
1975-02-10,70.82,,,,,,,
1975-02-17,73.260002,,,,,,,
1975-02-24,73.139999,,,,,,,
1975-03-03,73.830002,,,,,,,
1975-03-10,74.879997,,,,,,,
1975-03-17,76.269997,,,,,,,
1975-03-24,74.419998,,,,,,,
1975-03-31,75.660004,,,,,,,
1975-04-07,74.339996,,,,,,,
1975-04-14,77.330002,,,,,,,
1975-04-21,79.080002,,,,,,,
1975-04-28,78.279999,,,,,,,
1975-05-05,81.139999,,,,,,,
1975-05-12,82.300003,,,,,,,
1975-05-19,81.989998,,,,,,,
1975-05-26,82.620003,,,,,,,
1975-06-02,83.879997,,,,,,,
1975-06-09,84.010002,,,,,,,
1975-06-16,84.010002,,,,,,,
1975-06-23,85.769997,,,,,,,
1975-06-30,87.019997,,,,,,,
1975-07-07,85.599998,,,,,,,
1975-07-14,87.580002,,,,,,,
1975-07-21,86.769997,,,,,,,
1975-07-28,83.089996,,,,,,,
1975-08-04,80.980003,,,,,,,
1975-08-11,79.449997,,,,,,,
1975-08-18,78.029999,,,,,,,
1975-08-25,76.839996,,,,,,,
1975-09-01,79.010002,,,,,,,
1975-09-08,77.459999,,,,,,,
1975-09-15,74.470001,,,,,,,
1975-09-22,75.860001,,,,,,,
1975-09-29,75.370003,,,,,,,
1975-10-06,76.029999,,,,,,,
1975-10-13,77.699997,,,,,,,
1975-10-20,78.129997,,,,,,,
1975-10-27,78.290001,,,,,,,
1975-11-03,76.620003,,,,,,,
1975-11-10,77.459999,,,,,,,
1975-11-17,79.099998,,,,,,,
1975-11-24,77.919998,,,,,,,
1975-12-01,78.660004,,,,,,,
1975-12-08,74.919998,,,,,,,
1975-12-15,74.540001,,,,,,,
1975-12-22,75.589996,,,,,,,
1975-12-29,76.940002,,,,,,,
1976-01-05,78.760002,,,,,,,
1976-01-12,82.709999,,,,,,,
1976-01-19,84.730003,,,,,,,
1976-01-26,85.050003,,,,,,,
1976-02-02,87.279999,,,,,,,
1976-02-09,87.830002,,,,,,,
1976-02-16,88.959999,,,,,,,
1976-02-23,91.309998,,,,,,,
1976-03-01,90.25,,,,,,,
1976-03-08,89.970001,,,,,,,
1976-03-15,89.720001,,,,,,,
1976-03-22,89.690002,,,,,,,
1976-03-29,90.690002,,,,,,,
1976-04-05,91.43,,,,,,,
1976-04-12,88.599998,,,,,,,
1976-04-19,89.589996,,,,,,,
1976-04-26,90.57,,,,,,,
1976-05-03,89.050003,,,,,,,
1976-05-10,90.550003,,,,,,,
1976-05-17,89.489998,,,,,,,
1976-05-24,88.150002,,,,,,,
1976-05-31,88.040001,,,,,,,
1976-06-07,87.220001,,,,,,,
1976-06-14,88.400002,,,,,,,
1976-06-21,90.150002,,,,,,,
1976-06-28,89.870003,,,,,,,
1976-07-05,90.879997,,,,,,,
1976-07-12,91.940002,,,,,,,
1976-07-19,92.080002,,,,,,,
1976-07-26,91.480003,,,,,,,
1976-08-02,91.269997,,,,,,,
1976-08-09,91.330002,,,,,,,
1976-08-16,91.769997,,,,,,,
1976-08-23,89.599998,,,,,,,
1976-08-30,89.279999,,,,,,,
1976-09-06,91.019997,,,,,,,
1976-09-13,90.959999,,,,,,,
1976-09-20,91.889999,,,,,,,
1976-09-27,92.440002,,,,,,,
1976-10-04,90.459999,,,,,,,
1976-10-11,89.019997,,,,,,,
1976-10-18,89.459999,,,,,,,
1976-10-25,89.370003,,,,,,,
1976-11-01,90.389999,,,,,,,
1976-11-08,88.739998,,,,,,,
1976-11-15,88.129997,,,,,,,
1976-11-22,90.470001,,,,,,,
1976-11-29,91.080002,,,,,,,
1976-12-06,92.629997,,,,,,,
1976-12-13,94.620003,,,,,,,
1976-12-20,94.470001,,,,,,,
1976-12-27,95.68,,,,,,,
1977-01-03,97.690002,,,,,,,
1977-01-10,97.309998,,,,,,,
1977-01-17,97.139999,,,,,,,
1977-01-24,97.370003,,,,,,,
1977-01-31,95.540001,,,,,,,
1977-02-07,96.610001,,,,,,,
1977-02-14,96.129997,,,,,,,
1977-02-21,96.379997,,,,,,,
1977-02-28,94.57,,,,,,,
1977-03-07,96.169998,,,,,,,
1977-03-14,96.190002,,,,,,,
1977-03-21,96.260002,,,,,,,
1977-03-28,94.849998,,,,,,,
1977-04-04,93.900002,,,,,,,
1977-04-11,94.370003,,,,,,,
1977-04-18,96.169998,,,,,,,
1977-04-25,94.260002,,,,,,,
1977-05-02,95.830002,,,,,,,
1977-05-09,96.760002,,,,,,,
1977-05-16,97.790001,,,,,,,
1977-05-23,97.150002,,,,,,,
1977-05-30,95.900002,,,,,,,
1977-06-06,96.110001,,,,,,,
1977-06-13,97.279999,,,,,,,
1977-06-20,98.720001,,,,,,,
1977-06-27,99.629997,,,,,,,
1977-07-04,99.900002,,,,,,,
1977-07-11,100.849998,,,,,,,
1977-07-18,102.010002,,,,,,,
1977-07-25,103.010002,,,,,,,
1977-08-01,100.760002,,,,,,,
1977-08-08,100.550003,,,,,,,
1977-08-15,100.889999,,,,,,,
1977-08-22,101.050003,,,,,,,
1977-08-29,100.370003,,,,,,,
1977-09-05,100.830002,,,,,,,
1977-09-12,100.599998,,,,,,,
1977-09-19,100.349998,,,,,,,
1977-09-26,99.739998,,,,,,,
1977-10-03,101.160004,,,,,,,
1977-10-10,101.690002,,,,,,,
1977-10-17,99.139999,,,,,,,
1977-10-24,97.889999,,,,,,,
1977-10-31,97.519997,,,,,,,
1977-11-07,97.849998,,,,,,,
1977-11-14,100.980003,,,,,,,
1977-11-21,102.349998,,,,,,,
1977-11-28,104.059998,,,,,,,
1977-12-05,104.150002,,,,,,,
1977-12-12,103.889999,,,,,,,
1977-12-19,103.300003,,,,,,,
1977-12-26,103.940002,,,,,,,
1978-01-02,105.050003,,,,,,,
1978-01-09,100.199997,90.64,,,,,,
1978-01-16,99.360001,89.43,,,,,,
1978-01-23,100.339996,89.24,,,,,,
1978-01-30,100.970001,89.34,,,,,,
1978-02-06,102.269997,89.5,,,,,,
1978-02-13,103.339996,88.86,,,,,,
1978-02-20,102.25,87.96,,,,,,
1978-02-27,102.220001,87.72,,,,,,
1978-03-06,101.739998,86.9,,,,,,
1978-03-13,103.529999,88.95,,,,,,
1978-03-20,105.360001,90.82,,,,,,
1978-03-27,105.300003,88.87,,,,,,
1978-04-03,105.889999,88.46,,,,,,
1978-04-10,108.529999,90.49,,,,,,
1978-04-17,111.910004,94.45,,,,,,
1978-04-24,113.599998,95.77,,,,,,
1978-05-01,115.959999,97.67,,,,,,
1978-05-08,117.139999,96.19,,,,,,
1978-05-15,119.800003,98.76,,,,,,
1978-05-22,121.93,99.09,,,,,,
1978-05-29,119.860001,96.58,,,,,,
1978-06-05,122.099998,99.95,,,,,,
