,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,50,51,52,53,54,55,56,57,60,61,62,63,64,70,71,72,73,74,75,80,81,82,83,84,85,86,87,90,91,92,93,94,100,101,102,105,106,107,110,111,112,113,114,115,120,121,122,123,124,125,127,128,129,130,131,132,133,134,137,138,139,140,141,142,143,144,145,150,151,152,153,154,160,161,162,163,164,166,170,171,172,173,174,175,180,181,182,183,184,185,186,190,191,192,193,194,195,196,202,203,211,213,214,231,232,233,234,241,242,243,244,253,254,256,311,312,331,332,333,334,344,351,353,355,356,811,813,814,831,833,834,841,842,861,862,863,871,872,873,874,1013,1014,1031,1034,1041,1043,1044,1053,1056,1121,1122,1123,1124,1125,1211,1213,1233,1234,1241,1243,1244,1246,1312,1313,1383,1384,1411,1412,1413,1621,1622,1623,1711,1712,1721,1722,1723,1724,1821,1822,1823,1831,1832
1979-01-01,4.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,,10.0,,7.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-08,6.0,,2.0,,,,,,,,2.0,,,,,,2.0,,,4.0,,,,,,5.0,,,,4.0,,32.0,29.0,,,,,26.0,,,,,,21.0,9.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,6.0,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,16.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-15,15.0,,9.0,2.0,,,,,,,13.0,,,,,8.0,,2.0,,6.0,5.0,,,,,4.0,2.0,,,15.0,,45.0,43.0,,,12.0,3.0,16.0,,,2.0,,,7.0,,,4.0,,,2.0,,,,,,,,,,,,,,3.0,,,,,4.0,,,2.0,,,2.0,56.0,2.0,,3.0,,,,,,,,,3.0,,2.0,,,,,,,,,16.0,,,,,,,2.0,,,,,4.0,,,,,,,4.0,,,,,,,,,,19.0,,,13.0,,,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-22,21.0,,,3.0,,,,,,,9.0,,,,,4.0,,,,17.0,,,,,,40.0,,,,22.0,,32.0,33.0,,,12.0,,18.0,,,,,,13.0,,2.0,,,,,4.0,,,,,,,,,,,,2.0,4.0,,,,,6.0,,,,,,2.0,19.0,2.0,,,,10.0,,,,,,,,,4.0,,,,,,2.0,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,2.0,,,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,6.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-01-29,8.0,,2.0,,,,,2.0,,,5.0,,,,,,2.0,,,6.0,,,,,,11.0,,,,19.0,,79.0,70.0,,,10.0,,18.0,4.0,,,,,38.0,6.0,,,,,,4.0,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,5.0,,,3.0,,2.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,13.0,,,5.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-05,6.0,,2.0,2.0,,,,,,,2.0,,,,,,3.0,,,23.0,,,,,,8.0,,,,16.0,,21.0,18.0,87.0,,10.0,12.0,8.0,,,9.0,,,36.0,,18.0,,,,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,6.0,,,,,,,,,,,,,,2.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-12,9.0,,,3.0,,,,2.0,,,10.0,,,,,,,,,6.0,,2.0,2.0,,,4.0,,,,14.0,,53.0,42.0,,,16.0,2.0,14.0,2.0,,,,,19.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,20.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-19,16.0,,2.0,2.0,,,,,,,2.0,,,,,,2.0,,,4.0,3.0,,,,,37.0,,,,28.0,,57.0,54.0,,,4.0,10.0,35.0,,,,,,17.0,,,,,,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,10.0,7.0,10.0,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,2.0,26.0,,,2.0,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979-02-26,16.0,,3.0,6.0,,,,,,,9.0,,,,,,,,,7.0,,,2.0,,,4.0,,,,36.0,,84.0,80.0,,,19.0,,31.0,,,,,,11.0,3.0,11.0,,,,2.0,3.0,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,4.0,26.0,6.0,,,,,,,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,43.0,,,,,2.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
