Date,Action,Forecast,Actual,Return (%),Budget,LongOnly
2016-12-19,Sell,2228.726,2259.24,0.006351693489846304,9936.483065101536,10000.0
2016-12-26,,2214.428,2260.25,,,10004.470529912714
2017-01-02,,2186.843,2251.61,,,9966.227580956429
2017-01-09,,2199.469,2273.59,,,10063.516934898462
2017-01-16,Sell,2175.8274,2272.74,0.009477546925737402,9842.309580575242,10059.754607744197
2017-01-23,,2191.2031,2267.78,,,10037.800322232257
2017-01-30,,2140.8977,2286.01,,,10118.491174023124
2017-02-06,,2149.8406,2294.28,,,10155.096404100495
2017-02-13,Sell,2117.821,2321.72,0.02304756818220984,9615.468279446517,10276.553177174625
2017-02-20,,2133.953,2343.01,,,10370.788406720845
2017-02-27,,2056.743,2365.23,,,10469.140064800553
2017-03-06,,2016.7053,2375.23,,,10513.402737203662
2017-03-13,Buy,1985.5066,2371.56,-0.0038877363423231123,9578.085873968057,10497.158336431721
2017-03-20,,2010.8069,2378.24,,,10526.725801596996
2017-03-27,,2071.049,2329.11,,,10309.263292080524
2017-04-03,,2128.92,2362.34,,,10456.348152476055
2017-04-10,Buy,2194.285,2357.16,0.013295660880042148,9705.432855628258,10433.420088171244
2017-04-17,,2257.7998,2332.62,,,10324.799490094014
2017-04-24,,2301.3828,2370.33,,,10491.714027726139
2017-05-01,,2322.0664,2388.5,,,10572.139303482587
2017-05-08,Sell,2285.0725,2399.94,0.006066818337125072,9646.551757609996,10622.775800711745
2017-05-15,,2246.0745,2393.98,,,10596.395247959492
2017-05-22,,2221.4702,2387.21,,,10566.429418742588
2017-05-29,,2212.5762,2414.5,,,10687.22225173067
2017-06-05,Buy,2236.9229,2437.83,0.0022520028057740845,9668.275819234177,10790.487066447124
2017-06-12,,2264.3027,2425.88,,,10737.59317292541
2017-06-19,,2299.2012,2442.55,,,10811.379047821392
2017-06-26,,2306.2876,2443.32,,,10814.787273596432
2017-07-03,Sell,2303.937,2431.39,0.016718831614837643,9506.633543806594,10761.981905419521
2017-07-10,,2280.7454,2424.51,,,10731.529186806185
2017-07-17,,2258.313,2459.5,,,10886.404277544661
2017-07-24,,2242.2195,2472.04,,,10941.90966873816
2017-07-31,Sell,2228.0908,2475.94,-0.02037206071229515,9700.303259530565,10959.172110975373
2017-08-07,,2222.9773,2477.14,,,10964.483631663745
2017-08-14,,2206.0796,2454.96,,,10866.30902427365
2017-08-21,,2224.9941,2425.5,,,10735.91119137409
2017-08-28,Buy,2242.9346,2447.35,0.022538664269516135,9918.935138009618,10832.625130574885
2017-09-04,,2272.413,2474.42,,,10952.4441847701
2017-09-11,,2288.0083,2474.52,,,10952.88681149413
2017-09-18,,2295.2375,2502.51,,,11076.778031550435
2017-09-25,Sell,2303.7214,2499.39,0.022477484506219635,9695.982427126808,11062.968077760663
2017-10-02,,2278.6855,2521.2,,,11159.504966271843
2017-10-09,,2240.0627,2551.39,,,11293.13397425683
2017-10-16,,2216.1877,2555.57,,,11311.635771321331
2017-10-23,Sell,2201.8652,2578.08,-0.0006012226152794821,9701.811871039348,11411.271046900729
2017-10-30,,2203.5532,2577.75,,,11409.810378711425
2017-11-06,,2203.6792,2587.47,,,11452.833696287247
2017-11-13,,2196.1196,2576.53,,,11404.410332678248
2017-11-20,Sell,2175.439,2579.49,0.028183865802930145,9428.3773072207,11417.512083709566
2017-11-27,,2165.4333,2602.66,,,11520.068695667569
2017-12-04,,2160.0317,2657.19,,,11761.433048281724
2017-12-11,,2130.3357,2652.19,,,11739.301712080169
2017-12-18,Sell,2111.6182,2685.92,0.02112870078036576,9229.167944252044,11888.599706095856
2017-12-25,,2077.747,2684.22,,,11881.075051787326
2018-01-01,,2046.1631,2689.15,,,11902.89654928206
2018-01-08,,2018.3333,2742.67,,,12139.7903719835
2018-01-15,Sell,2741.7085,2770.18,-0.01051195229190879,9326.184517376036,12261.556983764453
2018-01-22,,2664.221,2809.16,,,12434.092880791772
2018-01-29,,2711.0093,2867.23,,,12691.126219436626
2018-02-05,,2717.7163,2741.06,,,12132.664081726598
2018-02-12,Sell,2717.465,2636.75,0.016804778610031268,9169.46005128523,11670.960145889769
2018-02-19,,2655.929,2727.14,,,12071.05044174147
2018-02-26,,2697.527,2757.37,,,12204.85650041607
2018-03-05,,2695.8557,2681.06,,,11867.088047307945
2018-03-12,Buy,2681.3503,2790.54,-0.056293763930995486,8653.276631783485,12351.675784777182
2018-03-19,,2703.8564,2741.38,,,12134.080487243498
2018-03-26,,2702.1611,2619.35,,,11593.943095908358
2018-04-02,,2736.8425,2633.45,,,11656.353463996742
2018-04-09,Sell,2728.5881,2617.18,0.022111585752604083,8461.9389634988,11584.338095996884
2018-04-16,,2728.0063,2670.1,,,11818.576158354137
2018-04-23,,2731.5735,2675.4,,,11842.035374727786
2018-04-30,,2717.929,2675.05,,,11840.486181193677
2018-05-07,Sell,2730.985,2669.36,0.02031947732789874,8289.996786579923,11815.300720596308
2018-05-14,,2714.3232,2733.37,,,12098.626086648608
2018-05-21,,2710.5227,2725.95,,,12065.7831837255
2018-05-28,,2711.4563,2723.6,,,12055.38145571077
2018-06-04,Buy,2741.657,2741.67,0.0004632213213114568,8293.83688984507,12135.364104743188
2018-06-11,,2732.0862,2780.18,,,12305.819656167561
2018-06-18,,2753.7732,2765.79,,,12242.125670579488
2018-06-25,,2758.905,2742.94,,,12140.985464138384
2018-07-02,Buy,2758.4148,2704.95,0.034832436828776965,8582.731439378778,11972.831571678971
2018-07-09,,2755.6006,2768.51,,,12254.165117473134
2018-07-16,,2754.5503,2801.43,,,12399.877835024168
2018-07-23,,2760.8857,2799.17,,,12389.874471061066
2018-07-30,Buy,2771.086,2819.0,0.01239091876551963,8689.079367430391,12477.647350436431
2018-08-06,,2768.9329,2840.29,,,12571.88257998265
2018-08-13,,2772.5334,2835.46,,,12550.50370921195
2018-08-20,,2778.9873,2853.93,,,12632.256865140489
2018-08-27,Buy,2785.2778,2884.69,0.006635028373932684,8746.731655576645,12768.408845452454
2018-09-03,,2805.2612,2898.37,,,12828.960181299906
2018-09-10,,2785.182,2881.39,,,12753.802163559427
2018-09-17,,2786.9778,2903.83,,,12853.127600432004
2018-09-24,Sell,2800.982,2921.83,-0.05407569913376206,9219.71728498736,12932.8004107576
