Date,Action,Forecast,Actual,Return (%),Budget,LongOnly
2015-06-08,Buy,2128.0386,2092.34,0.0030062035806799866,10030.062035806799,10000.0
2015-06-15,,2132.138,2091.34,,,9995.220662033895
2015-06-22,,2135.3325,2112.5,,,10096.351453396675
2015-06-29,,2143.4368,2098.63,,,10030.0620358068
2015-07-06,Buy,2146.9456,2073.95,0.0020444080136937906,10050.56757501065,9912.10797480333
2015-07-13,,2135.404,2080.03,,,9941.16634963725
2015-07-20,,2138.258,2126.85,,,10164.93495321028
2015-07-27,,2149.3882,2078.19,,,9932.372367779615
2015-08-03,Buy,2144.5923,2104.49,-0.06621081592214727,9385.111295388517,10058.068956288174
2015-08-10,,2145.5046,2080.98,,,9945.706720705048
2015-08-17,,2145.8962,2089.7,,,9987.382547769483
2015-08-24,,2159.2412,1965.15,,,9392.116004091113
2015-08-31,Buy,2151.5146,1986.73,-0.013031463762061327,9262.809557639748,9495.254117399658
2015-09-07,,2166.288,1947.76,,,9309.003316860548
2015-09-14,,2151.9097,1963.06,,,9382.127187741953
2015-09-21,,2154.777,1960.84,,,9371.5170574572
2015-09-28,Buy,2161.9417,1929.18,0.053157299992743004,9755.19550407085,9220.203217450318
2015-10-05,,2191.7253,1954.33,,,9340.403567297857
2015-10-12,,2181.7478,2015.65,,,9633.472571379412
2015-10-19,,2194.7917,2031.73,,,9710.32432587438
2015-10-26,Sell,2204.8435,2075.08,-0.025541183954353567,10004.354746951007,9917.508626705028
2015-11-02,,2217.5706,2080.76,,,9944.655266352505
2015-11-09,,2196.6038,2096.56,,,10020.168806216963
2015-11-16,,2203.3809,2022.08,,,9664.203714501467
2015-11-23,Buy,2209.6736,2089.41,-0.03639304875539026,9640.265776878998,9985.996539759311
2015-11-30,,2218.171,2090.95,,,9993.356720227113
2015-12-07,,2231.6104,2090.42,,,9990.82367110508
2015-12-14,,2214.4417,2013.37,,,9622.575680816693
2015-12-21,Buy,2227.2908,2010.27,-0.041860048650181364,9236.723782458164,9607.759733121768
2015-12-28,,2225.9045,2057.77,,,9834.778286511752
2016-01-04,,2232.6775,2038.2,,,9741.24664251508
2016-01-11,,2233.3457,1926.12,,,9205.578443274037
2016-01-18,Nothing,2242.0588,,0,9236.723782458164,
2016-01-25,,2246.693,1906.28,,,9110.756378026515
2016-02-01,,2257.8806,1936.94,,,9257.290880067294
2016-02-08,,2267.3254,1873.25,,,8952.894845006069
2016-02-15,Nothing,2266.026,,0,9236.723782458164,
2016-02-22,,2277.666,1924.44,,,9197.549155490982
2016-02-29,,2289.7927,1947.13,,,9305.992333941902
2016-03-07,,2301.2979,1996.11,,,9540.084307521722
2016-03-14,Buy,2300.4773,2019.27,0.026702719299548882,9483.369424868612,9650.773774816713
2016-03-21,,2304.7566,2047.88,,,9787.510634026976
2016-03-28,,2322.3633,2037.89,,,9739.765047745586
2016-04-04,,2322.848,2073.19,,,9908.47567794909
2016-04-11,Buy,2337.0562,2050.23,0.008262487623339847,9561.725647369149,9798.742078247322
2016-04-18,,2338.3213,2078.83,,,9935.431144077922
2016-04-25,,2344.928,2089.37,,,9985.805366240667
2016-05-02,,2355.3157,2067.17,,,9879.70406339314
2016-05-09,Buy,2344.9868,2057.55,0.015800345070593552,9712.804212067926,9833.72683215921
2016-05-16,,2349.5483,2046.53,,,9781.058527772733
2016-05-23,,2354.045,2052.23,,,9808.30075417953
2016-05-30,,2365.422,2090.06,,,9989.103109437281
2016-06-06,Sell,2078.5366,2100.83,-0.03302504248320896,10033.569983802561,10040.57657933223
2016-06-13,,2067.042,2091.75,,,9997.180190599998
2016-06-20,,2047.188,2075.58,,,9919.89829568808
2016-06-27,,2045.0339,2031.45,,,9708.98611124387
2016-07-04,Sell,2045.3058,2099.34,0.03542541941753117,9678.126558871203,10033.455365762735
2016-07-11,,2043.1538,2131.72,,,10188.210329105212
2016-07-18,,2040.0728,2162.04,,,10333.119856237514
2016-07-25,,2025.8018,2173.71,,,10388.894730301958
2016-08-01,Sell,2042.1375,2173.15,0.003879161585716511,9640.583542102328,10386.21830104094
2016-08-08,,2033.5922,2183.76,,,10436.927076861313
2016-08-15,,2035.6731,2186.08,,,10448.015140942676
2016-08-22,,2033.0658,2181.58,,,10426.508120095205
2016-08-29,Buy,2036.0726,2170.19,-0.012072675664342879,9524.195903783524,10372.07146066127
2016-09-05,,2053.7346,2177.49,,,10406.960627813834
2016-09-12,,2044.3481,2120.86,,,10136.306718793314
2016-09-19,,2051.2996,2143.99,,,10246.852805949318
2016-09-26,Buy,2048.7498,2158.54,-0.011855235483243371,9411.284318555628,10316.392173356146
2016-10-03,,2061.012,2164.33,,,10344.064540179894
2016-10-10,,2056.188,2160.39,,,10325.23394859344
2016-10-17,,2052.0398,2132.95,,,10194.08891480352
2016-10-24,Buy,2040.8743,2148.5,0.007977658831743017,9486.364334017599,10268.407620176453
2016-10-31,,2046.466,2129.78,,,10178.93841345097
2016-11-07,,2065.6785,2100.59,,,10039.429538220365
2016-11-14,,2061.2432,2165.64,,,10350.32547291549
2016-11-21,Buy,2050.849,2186.43,0.03311334001088537,9800.48954167706,10449.687909230812
2016-11-28,,2060.9028,2210.21,,,10563.34056606479
2016-12-05,,2070.8474,2200.65,,,10517.650095108826
2016-12-12,,2069.7808,2258.83,,,10795.71197797681
2016-12-19,Buy,2068.3147,2259.24,0.006351693489846304,9862.739247296236,10797.671506542913
2016-12-26,,2080.2039,2260.25,,,10802.498637888679
2017-01-02,,2088.959,2251.61,,,10761.205157861534
2017-01-09,,2166.0356,2273.59,,,10866.25500635652
2017-01-16,Buy,2109.8123,2272.74,0.009477546925737402,9956.213821328798,10862.19256908533
2017-01-23,,2208.712,2267.78,,,10838.487052773451
2017-01-30,,2138.0225,2286.01,,,10925.614383895543
2017-02-06,,2207.0935,2294.28,,,10965.13950887523
2017-02-13,Buy,2157.7393,2321.72,0.02304756818220984,10185.680338212533,11096.28454266515
2017-02-20,,2275.2668,2343.01,,,11198.036647963525
2017-02-27,,2199.0103,2365.23,,,11304.233537570375
2017-03-06,,2177.9934,2375.23,,,11352.026917231426
2017-03-13,Buy,2168.8577,2371.56,-0.0038877363423231123,10146.081098590377,11334.48674689582
2017-03-20,,2178.4053,2378.24,,,11366.4127245094
2017-03-27,,2191.2776,2329.11,,,11131.603850234666
2017-04-03,,2197.0896,2362.34,,,11290.421250848332
2017-04-10,Buy,2184.0642,2357.16,0.013295660880042148,10280.97995213864,11265.664280183908
2017-04-17,,2190.884,2332.62,,,11148.379326495693
2017-04-24,,2193.7625,2370.33,,,11328.60816119751
2017-05-01,,2203.032,2388.5,,,11415.448732041637
2017-05-08,Sell,2200.1018,2399.94,0.006066818337125072,10218.607114441389,11470.124358373878
2017-05-15,,2193.0464,2393.98,,,11441.639504095892
2017-05-22,,2186.829,2387.21,,,11409.283386065363
2017-05-29,,2194.7432,2414.5,,,11539.711519160366
2017-06-05,Sell,2410.9775,2437.83,0.0022520028057740845,10195.594782548564,11651.213473909593
2017-06-12,,2396.061,2425.88,,,11594.10038521464
2017-06-19,,2400.7363,2442.55,,,11673.77194910961
2017-06-26,,2402.1921,2443.32,,,11677.45203934351
2017-07-03,Sell,2404.2627,2431.39,0.016718831614837643,10025.136350166016,11620.434537407877
2017-07-10,,2391.2502,2424.51,,,11587.552692201078
2017-07-17,,2391.5918,2459.5,,,11754.781727635087
2017-07-24,,2380.1143,2472.04,,,11814.714625730043
2017-07-31,Sell,2387.5923,2475.94,-0.02037206071229515,10229.369036540636,11833.354043797854
2017-08-07,,2384.5454,2477.14,,,11839.08924935718
2017-08-14,,2371.484,2454.96,,,11733.083533268971
2017-08-21,,2369.0408,2425.5,,,11592.28423678752
2017-08-28,Buy,2381.82,2447.35,0.022538664269516135,10459.92535094421,11696.712771346913
2017-09-04,,2381.9172,2474.42,,,11826.089450089374
2017-09-11,,2380.1936,2474.52,,,11826.567383885984
2017-09-18,,2388.7156,2502.51,,,11960.341053557262
2017-09-25,Sell,2391.12,2499.39,0.022477484506219635,10224.812540932147,11945.429519103012
2017-10-02,,2406.5024,2521.2,,,12049.66688014376
2017-10-09,,2391.8757,2551.39,,,12193.95509334047
2017-10-16,,2385.7944,2555.57,,,12213.932726038789
2017-10-23,Buy,2387.8223,2578.08,-0.0006012226152794821,10218.665152395546,12321.51562365581
2017-10-30,,2402.3618,2577.75,,,12319.938442126997
2017-11-06,,2396.8276,2587.47,,,12366.393607157535
2017-11-13,,2394.5889,2576.53,,,12314.10764980835
2017-11-20,Buy,2377.997,2579.49,0.028183865802930145,10506.66663973574,12328.254490188017
2017-11-27,,2389.6902,2602.66,,,12438.99175086267
2017-12-04,,2404.5337,2657.19,,,12699.609050154373
2017-12-11,,2393.3708,2652.19,,,12675.712360323849
2017-12-18,Buy,2397.1638,2685.92,0.02112870078036576,10728.658855365768,12836.919429920568
2017-12-25,,2386.2666,2684.22,,,12828.794555378188
2018-01-01,,2405.5605,2689.15,,,12852.356691551087
2018-01-08,,2418.5947,2742.67,,,13108.146859497023
2018-01-15,Buy,2425.1353,2770.18,-0.01051195229190879,10615.879705321997,13239.626446944569
2018-01-22,,2376.542,2809.16,,,13425.925040863338
2018-01-29,,2372.4775,2867.23,,,13703.461196555054
2018-02-05,,2477.5193,2741.06,,,13100.452125371594
2018-02-12,Buy,2451.7021,2636.75,0.016804778610031268,10794.277213520656,12601.919382127187
2018-02-19,,2397.9456,2727.14,,,13033.923740883412
2018-02-26,,2381.4785,2757.37,,,13178.403127598764
2018-03-05,,2457.977,2681.06,,,12813.691847405296
2018-03-12,Sell,2422.0432,2790.54,-0.056293763930995486,11401.927706784312,13336.933767934466
2018-03-19,,2414.9053,2741.38,,,13101.981513520748
2018-03-26,,2414.3918,2619.35,,,12518.758901516961
2018-04-02,,2411.4055,2633.45,,,12586.147566839041
2018-04-09,Sell,2413.4475,2617.18,0.022111585752604083,11149.813004550759,12508.387738130514
2018-04-16,,2395.5686,2670.1,,,12761.310303296787
2018-04-23,,2402.0767,2675.4,,,12786.640794517143
2018-04-30,,2403.4082,2675.05,,,12784.968026229008
2018-05-07,Sell,2396.3855,2669.36,0.02031947732789874,10923.25463199448,12757.77359320187
2018-05-14,,2381.5088,2733.37,,,13063.699016412245
2018-05-21,,2393.6287,2725.95,,,13028.236328703746
2018-05-28,,2392.0083,2723.6,,,13017.0048844834
2018-06-04,Sell,2733.5254,2741.67,0.0004632213213114568,10918.194747550826,13103.367521530918
2018-06-11,,2722.5647,2780.18,,,13287.419826605617
2018-06-18,,2719.9958,2765.79,,,13218.645153273368
2018-06-25,,2722.9155,2742.94,,,13109.43728074787
2018-07-02,Sell,2708.782,2704.95,0.034832436828776965,10537.887418722477,12927.870231415543
2018-07-09,,2699.8591,2768.51,,,13231.644952541175
2018-07-16,,2713.922,2801.43,,,13388.980758385347
2018-07-23,,2693.517,2799.17,,,13378.179454581952
2018-07-30,Sell,2715.8167,2819.0,0.01239091876551963,10407.313311756896,13472.953726449812
2018-08-06,,2709.8955,2840.29,,,13574.705831748186
2018-08-13,,2710.585,2835.46,,,13551.621629371899
2018-08-20,,2686.003,2853.93,,,13639.896001605857
2018-08-27,Sell,2710.9658,2884.69,0.006635028373932684,10338.260492636982,13786.908437443246
2018-09-03,,2716.6519,2898.37,,,13852.28978081956
2018-09-10,,2711.81,2881.39,,,13771.136622155098
2018-09-17,,2710.2358,2903.83,,,13878.384966114494
2018-09-24,Buy,2705.7734,2921.83,-0.05407569913376206,9779.211828670686,13964.413049504383
2018-10-01,,2705.425,2926.29,,,13985.72889683321
2018-10-08,,2718.1436,2877.53,,,13752.688377605935
2018-10-15,,2706.9116,2763.83,,,13209.277650859802
2018-10-22,Buy,2702.749,2773.94,-3.6049806413326453e-06,9779.176574801357,13257.596757697123
2018-10-29,,2709.071,2682.65,,,12821.290994771405
2018-11-05,,2723.2078,2726.37,,,13030.24365064951
2018-11-12,,2703.5393,2773.93,,,13257.548964317462
2018-11-19,Buy,2699.9775,2730.74,-0.036576166167412376,9421.491787420957,13051.129357561389
2018-11-26,,2717.386,2649.97,,,12665.102230039094
2018-12-03,,2729.956,2790.5,,,13336.742594415822
2018-12-10,,2703.2983,2630.86,,,12573.76908150683
2018-12-17,Buy,2702.4482,2590.75,-0.02128341213934184,9220.970294741852,12382.069835686361
2018-12-24,,2713.4866,2400.56,,,11473.087547912863
2018-12-31,,2721.1216,2498.94,,,11943.278817018267
2019-01-07,,2854.3562,2535.61,,,12118.537140235336
2019-01-14,Buy,2521.575,2580.31,0.048901101030496275,9671.885894724228,12332.173547320224
2019-01-21,,2790.8525,2651.27,,,12671.315369395032
2019-01-28,,2820.1594,2644.97,,,12641.20554020857
2019-02-04,,2871.6116,2706.49,,,12935.230411883345
2019-02-11,Buy,2541.5298,2712.4,0.03759401268249513,10035.490895714136,12963.476299263026
2019-02-18,,2852.2932,2760.24,,,13192.119827561484
2019-02-25,,2861.6086,2804.35,,,13402.936425246375
2019-03-04,,2763.556,2814.37,,,13450.825391666745
2019-03-11,Buy,2766.587,2747.61,0.036766498884485056,10404.460760536671,13131.756789049581
2019-03-18,,2771.546,2822.61,,,13490.207136507452
2019-03-25,,2790.5088,2796.01,,,13363.07674660906
2019-04-01,,2810.4915,2848.63,,,13614.565510385502
2019-04-08,Sell,2818.067,2888.46,0.018044217333804135,10216.72040933251,13804.926541575462
2019-04-15,,2804.54,2908.32,,,13899.844193582305
2019-04-22,,2793.3538,2898.78,,,13854.249309385665
2019-04-29,,2802.6733,2940.58,,,14054.02563636885
2019-05-06,Sell,2808.1023,2908.89,-0.02629181577852721,10485.3365401954,13902.568416222985
2019-05-13,,2796.3335,2840.19,,,13574.227897951576
2019-05-20,,2788.6611,2841.94,,,13582.59173939226
2019-05-27,,2798.95,2832.41,,,13537.044648575278
2019-06-03,Sell,2821.9338,2751.53,0.07264685465904419,9723.60982050866,13150.491793876712
2019-06-10,,2818.2634,2885.83,,,13792.356882724604
2019-06-17,,2824.623,2889.75,,,13811.091887551736
2019-06-24,,2802.6348,2951.42,,,14105.833659921427
2019-07-01,Sell,2824.597,2971.41,0.0035404067429267525,9689.184286734542,14201.372625863865
2019-07-08,,2835.6204,2979.77,,,14241.327891260502
2019-07-15,,2814.1782,3017.8,,,14423.086114111475
2019-07-22,,2804.6104,2981.93,,,14251.651261267289
2019-07-29,Sell,2807.8389,3024.47,-0.036697338707277566,10044.75156430207,14454.964298345392
2019-08-05,,2809.6296,2898.07,,,13850.85597942973
2019-08-12,,2799.801,2907.07,,,13893.870021124674
2019-08-19,,2788.1973,2913.48,,,13924.505577487407
2019-08-26,Sell,2803.468,2866.7,0.0452471482889734,9590.255200746198,13700.928147433016
2019-09-02,,2803.156,2937.09,,,14037.345746867144
2019-09-09,,2790.382,2988.43,,,14282.71695804697
2019-09-16,,2799.2278,2996.41,,,14320.856075016487
2019-09-23,Sell,2788.356,2983.5,-0.005929277693983595,9647.118486987594,14259.154821874074
2019-09-30,,2799.286,2967.07,,,14180.63029909097
2019-10-07,,2806.7378,2944.23,,,14071.470219945133
2019-10-14,,2787.5525,2965.81,,,14174.608333253676
2019-10-21,Buy,2791.4778,2996.48,0.02798283319094401,9917.07219438224,14321.190628674116
2019-10-28,,2812.9624,3032.12,,,14491.526233786095
2019-11-04,,2819.2312,3078.96,,,14715.390424118452
2019-11-11,,2795.3274,3080.33,,,14721.938117132015
2019-11-18,Buy,2801.4033,3117.91,0.00768142762299113,9993.249466675363,14901.545637898238
2019-11-25,,2789.5186,3117.44,,,14899.299349054168
2019-12-02,,2817.88,3143.85,,,15025.521664738999
2019-12-09,,2816.22,3141.86,,,15016.010782186451
2019-12-16,Buy,2830.3962,3183.63,0.010654504449323593,10099.722587581256,15215.643729030655
2019-12-23,,2830.4834,3226.05,,,15418.383245552826
2019-12-30,,2845.0603,3240.09,,,15485.48515059694
2020-01-06,,2869.7017,3217.55,,,15377.758872840936
2020-01-13,Buy,2861.3765,3271.13,-0.010843347711647123,9990.207783772938,15633.835801064837
2020-01-20,,2848.0715,3323.66,,,15884.894424424328
2020-01-27,,2875.8772,3247.16,,,15519.2750700173
2020-02-03,,2889.2512,3235.66,,,15464.312683407094
2020-02-10,Buy,2878.03,3318.28,-0.10366816543510493,8954.541270513691,15859.181586166686
2020-02-17,,2873.2107,3378.08,,,16144.985996539759
2020-02-24,,2887.6565,3257.61,,,15569.219151763098
2020-03-02,,2902.0435,2974.28,,,14215.089325826588
2020-03-09,Buy,2882.5354,2863.89,-0.10646707799531402,8001.177426653651,13687.498207748262
2020-03-16,,2882.3953,2508.59,,,11989.39942839118
2020-03-23,,2878.184,2290.71,,,10948.077272336235
2020-03-30,,2891.7603,2558.98,,,12230.230268503206
2020-04-06,Sell,2894.157,2578.28,0.10719161611617042,7143.518287458424,12322.471491249033
2020-04-13,,2876.1343,2782.46,,,13298.316717168338
2020-04-20,,2875.2559,2845.62,,,13600.179703107526
2020-04-27,,2866.5618,2854.65,,,13643.337124941454
2020-05-04,Sell,2873.6475,2815.01,0.047260933353700324,6805.908945763912,13453.884167965054
2020-05-11,,2868.93,2915.46,,,13933.968666660294
2020-05-18,,2853.5088,2913.86,,,13926.321725914526
2020-05-25,,2857.167,2948.05,,,14089.727290975654
2020-06-01,Sell,2934.6272,3038.78,0.018309979662890986,6681.292891379488,14523.356624640355
2020-06-08,,2924.6326,3199.92,,,15293.499144498504
2020-06-15,,2892.48,2993.76,,,14308.190829406312
2020-06-22,,2880.5122,3094.42,,,14789.278989074433
2020-06-29,Sell,2865.8853,3018.59,0.06814439854369087,6226.000205802195,14426.861791104697
2020-07-06,,2868.1182,3155.29,,,15080.197291071241
2020-07-13,,2859.949,3205.08,,,15318.160528403605
2020-07-20,,2841.099,3224.29,,,15409.97161073248
2020-07-27,Sell,2836.5366,3219.84,0.05000869608427747,5914.646053689584,15388.703556783315
2020-08-03,,2823.575,3288.26,,,15715.705860424216
2020-08-10,,2816.4424,3356.04,,,16039.649387766805
2020-08-17,,2796.0945,3380.86,,,16158.27255608553
2020-08-24,Sell,2784.384,3418.09,-0.015953354066159813,6009.0044963601085,16336.207308563618
2020-08-31,,2791.6038,3509.73,,,16774.185839777474
2020-09-07,,2792.742,3453.6,,,16505.921599740002
2020-09-14,,2779.721,3363.56,,,16075.590009271915
2020-09-21,Buy,2773.5752,3285.57,0.06527025752000408,6401.213767276396,15702.849441295391
2020-09-28,,2780.5015,3333.9,,,15933.834845197243
2020-10-05,,2786.5557,3367.27,,,16093.321353126164
2020-10-12,,2789.331,3500.02,,,16727.778468126595
