Date,Action,Forecast,Actual,Return (%),Budget,LongOnly
2015-06-08,Sell,2126.245,2092.34,0.0030062035806799866,9969.937964193201,10000.0
2015-06-15,,2115.4524,2091.34,,,9995.220662033895
2015-06-22,,2110.5125,2112.5,,,10096.351453396675
2015-06-29,,2116.1174,2098.63,,,10030.0620358068
2015-07-06,Sell,2109.9197,2073.95,0.0020444080136937906,9949.555343123175,9912.10797480333
2015-07-13,,2109.4404,2080.03,,,9941.16634963725
2015-07-20,,2102.4229,2126.85,,,10164.93495321028
2015-07-27,,2104.7412,2078.19,,,9932.372367779615
2015-08-03,Sell,2122.1833,2104.49,-0.06621081592214727,10608.32352045392,10058.068956288174
2015-08-10,,2117.8406,2080.98,,,9945.706720705048
2015-08-17,,2118.4592,2089.7,,,9987.382547769483
2015-08-24,,2115.4297,1965.15,,,9392.116004091113
2015-08-31,Sell,2115.8345,1986.73,-0.013031463762061327,10746.565503986938,9495.254117399658
2015-09-07,,2124.9282,1947.76,,,9309.003316860548
2015-09-14,,2117.3928,1963.06,,,9382.127187741953
2015-09-21,,2113.72,1960.84,,,9371.5170574572
2015-09-28,Sell,2122.439,1929.18,0.053157299992743004,10175.307097599842,9220.203217450318
2015-10-05,,2115.1035,1954.33,,,9340.403567297857
2015-10-12,,2116.027,2015.65,,,9633.472571379412
2015-10-19,,2102.6729,2031.73,,,9710.32432587438
2015-10-26,Sell,2103.2173,2075.08,-0.025541183954353567,10435.196487971678,9917.508626705028
2015-11-02,,2099.1692,2080.76,,,9944.655266352505
2015-11-09,,2093.6877,2096.56,,,10020.168806216963
2015-11-16,,2098.355,2022.08,,,9664.203714501467
2015-11-23,Sell,2089.3213,2089.41,-0.03639304875539026,10814.965102530508,9985.996539759311
2015-11-30,,2099.1643,2090.95,,,9993.356720227113
2015-12-07,,2081.5186,2090.42,,,9990.82367110508
2015-12-14,,2081.1062,2013.37,,,9622.575680816693
2015-12-21,Buy,2072.234,2010.27,-0.041860048650181364,10362.250137188568,9607.759733121768
2015-12-28,,2078.7612,2057.77,,,9834.778286511752
2016-01-04,,2091.973,2038.2,,,9741.24664251508
2016-01-11,,2090.1934,1926.12,,,9205.578443274037
2016-01-18,Nothing,2098.8372,,0,10362.250137188568,
2016-01-25,,2095.778,1906.28,,,9110.756378026515
2016-02-01,,2107.3323,1936.94,,,9257.290880067294
2016-02-08,,2099.5723,1873.25,,,8952.894845006069
2016-02-15,Nothing,2090.3174,,0,10362.250137188568,
2016-02-22,,2075.3755,1924.44,,,9197.549155490982
2016-02-29,,2089.8462,1947.13,,,9305.992333941902
2016-03-07,,2089.9243,1996.11,,,9540.084307521722
2016-03-14,Sell,2089.57,2019.27,0.026702719299548882,10085.54988046351,9650.773774816713
2016-03-21,,2078.6006,2047.88,,,9787.510634026976
2016-03-28,,2085.3584,2037.89,,,9739.765047745586
2016-04-04,,2089.0576,2073.19,,,9908.47567794909
2016-04-11,Sell,2077.6218,2050.23,0.008262487623339847,10002.218149401604,9798.742078247322
2016-04-18,,2077.662,2078.83,,,9935.431144077922
2016-04-25,,2074.3105,2089.37,,,9985.805366240667
2016-05-02,,2076.9119,2067.17,,,9879.70406339314
2016-05-09,Sell,2064.3171,2057.55,0.015800345070593552,9844.179651169705,9833.72683215921
2016-05-16,,2071.3352,2046.53,,,9781.058527772733
2016-05-23,,2058.3987,2052.23,,,9808.30075417953
2016-05-30,,2062.1484,2090.06,,,9989.103109437281
2016-06-06,Sell,2056.534,2100.83,-0.03302504248320896,10169.284102361926,10040.57657933223
2016-06-13,,2050.5835,2091.75,,,9997.180190599998
2016-06-20,,2030.7521,2075.58,,,9919.89829568808
2016-06-27,,2022.1664,2031.45,,,9708.98611124387
2016-07-04,Sell,2020.1372,2099.34,0.03542541941753117,9809.032947859723,10033.455365762735
2016-07-11,,2007.7137,2131.72,,,10188.210329105212
2016-07-18,,2001.4851,2162.04,,,10333.119856237514
2016-07-25,,2000.657,2173.71,,,10388.894730301958
2016-08-01,Sell,2001.259,2173.15,0.003879161585716511,9770.982124055357,10386.21830104094
2016-08-08,,1994.2333,2183.76,,,10436.927076861313
2016-08-15,,1978.5836,2186.08,,,10448.015140942676
2016-08-22,,1978.154,2181.58,,,10426.508120095205
2016-08-29,Sell,1975.1316,2170.19,-0.012072675664342879,9888.94402216117,10372.07146066127
2016-09-05,,1978.7191,2177.49,,,10406.960627813834
2016-09-12,,1976.278,2120.86,,,10136.306718793314
2016-09-19,,1974.6412,2143.99,,,10246.852805949318
2016-09-26,Sell,1978.1483,2158.54,-0.011855235483243371,10006.1797822245,10316.392173356146
2016-10-03,,1986.5688,2164.33,,,10344.064540179894
2016-10-10,,1978.0475,2160.39,,,10325.23394859344
2016-10-17,,1962.4673,2132.95,,,10194.08891480352
2016-10-24,Sell,1951.2628,2148.5,0.007977658831743017,9926.353893712829,10268.407620176453
2016-10-31,,1953.1378,2129.78,,,10178.93841345097
2016-11-07,,1955.3442,2100.59,,,10039.429538220365
2016-11-14,,1947.6176,2165.64,,,10350.32547291549
2016-11-21,Sell,1936.6509,2186.43,0.03311334001088537,9597.65916216194,10449.687909230812
2016-11-28,,1932.9524,2210.21,,,10563.34056606479
2016-12-05,,1940.8495,2200.65,,,10517.650095108826
2016-12-12,,1930.2444,2258.83,,,10795.71197797681
2016-12-19,Buy,1935.8082,2259.24,0.006351693489846304,9658.620551380005,10797.671506542913
2016-12-26,,1937.337,2260.25,,,10802.498637888679
2017-01-02,,1949.7314,2251.61,,,10761.205157861534
2017-01-09,,1980.08,2273.59,,,10866.25500635652
2017-01-16,Sell,2099.5776,2272.74,0.009477546925737402,9567.08052186641,10862.19256908533
2017-01-23,,1938.4185,2267.78,,,10838.487052773451
2017-01-30,,1935.1201,2286.01,,,10925.614383895543
2017-02-06,,1956.0353,2294.28,,,10965.13950887523
2017-02-13,Sell,2077.8445,2321.72,0.02304756818220984,9346.582581234003,11096.28454266515
2017-02-20,,1923.8793,2343.01,,,11198.036647963525
2017-02-27,,1938.4304,2365.23,,,11304.233537570375
2017-03-06,,1921.9521,2375.23,,,11352.026917231426
2017-03-13,Sell,1898.0852,2371.56,-0.0038877363423231123,9382.919630011591,11334.48674689582
2017-03-20,,1906.3191,2378.24,,,11366.4127245094
2017-03-27,,1919.7856,2329.11,,,11131.603850234666
2017-04-03,,1895.941,2362.34,,,11290.421250848332
2017-04-10,Buy,1896.1747,2357.16,0.013295660880042148,9507.671747476916,11265.664280183908
2017-04-17,,1899.1101,2332.62,,,11148.379326495693
2017-04-24,,1890.274,2370.33,,,11328.60816119751
2017-05-01,,1896.4695,2388.5,,,11415.448732041637
2017-05-08,Sell,1879.6104,2399.94,0.006066818337125072,9449.990430175956,11470.124358373878
2017-05-15,,1882.5802,2393.98,,,11441.639504095892
2017-05-22,,1876.3667,2387.21,,,11409.283386065363
2017-05-29,,1877.048,2414.5,,,11539.711519160366
2017-06-05,Sell,2389.5107,2437.83,0.0022520028057740845,9428.709025212662,11651.213473909593
2017-06-12,,2381.7542,2425.88,,,11594.10038521464
2017-06-19,,2371.0967,2442.55,,,11673.77194910961
2017-06-26,,2370.929,2443.32,,,11677.45203934351
2017-07-03,Sell,2353.7085,2431.39,0.016718831614837643,9271.07202667483,11620.434537407877
2017-07-10,,2347.5227,2424.51,,,11587.552692201078
