,published_at,topic_class
0,2021-09-29T17:09:39+0000,"[(72, 0.09318705), (74, 0.44479), (162, 0.18984176), (165, 0.09108662), (454, 0.09108651)]"
1,2016-06-24T13:50:48-0400,"[(37, 0.0373789), (38, 0.02768363), (48, 0.010400057), (51, 0.057552863), (133, 0.025534708), (135, 0.012561938), (153, 0.046727262), (211, 0.03305713), (294, 0.032473847), (302, 0.42950338), (360, 0.14756581), (397, 0.06239642), (451, 0.020970987)]"
2,2014-03-25T13:29:45-0400,"[(2, 0.016034694), (37, 0.037028186), (38, 0.022963224), (51, 0.030752458), (109, 0.011436191), (157, 0.011849313), (200, 0.014549822), (276, 0.0405668), (280, 0.01035365), (288, 0.15854098), (294, 0.01676109), (319, 0.49583673), (393, 0.017752754), (397, 0.024007292), (416, 0.020036863), (472, 0.0110021625)]"
3,2009-04-22T19:49:03+0000,"[(11, 0.12417656), (59, 0.039159153), (143, 0.19089998), (152, 0.09596257), (331, 0.046580892), (415, 0.12485378), (421, 0.13156214), (445, 0.06271005), (447, 0.03853936), (449, 0.1078337)]"
4,2018-04-14T14:59:04+0000,
5,2017-03-07T23:07:14+0000,"[(48, 0.9859426)]"
6,2017-02-28T11:00:37-0500,"[(369, 0.9802004)]"
7,2020-12-17T06:08:38+0000,"[(31, 0.060560364), (132, 0.06696135), (151, 0.06135905), (158, 0.18108076), (220, 0.20706935), (266, 0.14099187), (395, 0.22395173)]"
8,2019-07-28T21:00:47+0000,"[(7, 0.9946342)]"
9,2012-04-05T06:53:57+0000,"[(81, 0.06604493), (154, 0.25052136), (168, 0.19328795), (189, 0.2142902), (345, 0.041689042), (363, 0.07635121), (403, 0.03709217), (433, 0.08427284)]"
10,2010-11-30T15:42:50+0000,"[(230, 0.07994893), (321, 0.16234638), (332, 0.2309198), (344, 0.22257382), (453, 0.22805236)]"
11,2019-02-11T10:04:30+0000,"[(101, 0.9846457)]"
12,2019-01-30T20:32:22+0000,"[(286, 0.0935539), (484, 0.8929283)]"
13,2021-06-03T10:44:44+0000,"[(266, 0.97773397), (355, 0.013492279)]"
14,2007-04-30T06:55:55+0000,"[(14, 0.9930208)]"
15,2015-10-06T19:24:25+0000,"[(112, 0.9841585)]"
16,2021-05-12T21:01:16+0000,"[(121, 0.9930669)]"
17,2014-05-29T01:01:17+0000,"[(239, 0.9898158)]"
18,2014-05-12T15:38:19+0000,"[(170, 0.9900198)]"
19,2008-03-04T00:25:24+0000,
20,2015-03-19T19:43:07+0000,"[(451, 0.98487794)]"
21,2016-05-19T03:03:37+0000,"[(344, 0.98279244)]"
22,2016-12-17T15:07:56+0000,"[(328, 0.98797506)]"
23,2018-02-26T21:26:02+0000,"[(294, 0.9866863)]"
24,2007-07-05T00:57:16+0000,"[(72, 0.9794944)]"
25,2018-02-28T14:30:29+0000,"[(339, 0.9086437), (448, 0.0861139)]"
26,2010-07-26T14:19:22+0000,"[(340, 0.98703843)]"
27,2012-01-25T20:27:04+0000,"[(133, 0.97782034)]"
28,2017-07-31T19:31:48+0000,"[(37, 0.27076846), (82, 0.03815769), (98, 0.15331055), (145, 0.39058328), (231, 0.07911924), (356, 0.035123248)]"
29,2012-04-16T16:44:20+0000,"[(145, 0.14165089), (209, 0.10353323), (238, 0.048184328), (302, 0.046097882), (322, 0.07536712), (339, 0.17038567), (394, 0.03710447), (403, 0.09076914), (416, 0.043710835), (472, 0.11264631), (485, 0.09432037)]"
30,2021-05-11T12:30:01+0000,"[(211, 0.9960705)]"
31,2020-03-18T16:17:43+0000,"[(295, 0.9904032)]"
32,2019-01-10T20:04:07+0000,"[(384, 0.99321055)]"
33,2019-03-03T17:00:13+0000,"[(75, 0.9959264)]"
34,2021-09-03T00:42:01+0000,"[(443, 0.9881188)]"
35,2007-09-12T04:25:04+0000,"[(162, 0.9956033)]"
36,2016-03-22T14:54:22+0000,"[(135, 0.0680256), (200, 0.06674553), (260, 0.018379983), (294, 0.19989876), (386, 0.64039296)]"
37,2007-03-16T06:24:33+0000,"[(205, 0.36688066), (276, 0.6287312)]"
38,2009-10-22T17:23:03+0000,"[(337, 0.9859434)]"
39,2012-01-18T22:09:31+0000,"[(165, 0.25025073), (191, 0.25022453), (283, 0.37526)]"
40,2021-02-05T17:30:52+0000,"[(341, 0.8551344), (449, 0.14126962)]"
41,2011-10-25T21:19:30+0000,"[(51, 0.9801631)]"
42,2013-02-26T09:32:17+0000,"[(44, 0.19894972), (53, 0.23844971), (89, 0.077405654), (265, 0.05603068), (294, 0.15999687), (319, 0.06680467), (331, 0.066785626), (336, 0.05638497), (454, 0.013717824)]"
43,2006-12-14T23:29:44+0000,"[(168, 0.99705476)]"
44,2012-10-08T09:04:00+0000,"[(37, 0.05529254), (51, 0.02351482), (107, 0.018666184), (122, 0.23180567), (133, 0.031206591), (146, 0.016657697), (154, 0.013215198), (301, 0.5455445), (345, 0.027697574), (358, 0.010167534)]"
45,2009-02-09T22:23:28+0000,"[(200, 0.99637073)]"
46,2014-11-13T18:25:56+0000,"[(363, 0.99451625)]"
47,2010-01-04T20:19:07+0000,"[(161, 0.048426207), (199, 0.16111393), (214, 0.056107003), (338, 0.15646827), (339, 0.2593403), (343, 0.07733079), (404, 0.047910936), (425, 0.05135342), (455, 0.055773225), (487, 0.04356092)]"
48,2010-07-08T18:10:10+0000,"[(470, 0.9887863)]"
49,2015-11-23T20:57:10+0000,"[(70, 0.051912155), (380, 0.9378189)]"
50,2008-08-29T15:25:24+0000,"[(209, 0.9926616)]"
51,2014-06-17T06:09:51-0400,"[(90, 0.9929217)]"
52,2017-08-30T20:20:38+0000,"[(368, 0.98858756)]"
53,2012-08-30T18:05:09+0000,"[(38, 0.07624407), (75, 0.0494787), (79, 0.06856733), (95, 0.041746985), (154, 0.124772646), (162, 0.091504596), (266, 0.16905051), (313, 0.053025357), (461, 0.041715108), (498, 0.2430523)]"
54,2011-11-18T17:50:14+0000,"[(31, 0.032518484), (70, 0.12786704), (145, 0.0786617), (211, 0.52787), (255, 0.04411754), (430, 0.17276669)]"
55,2016-02-05T15:27:47+0000,"[(472, 0.9935602)]"
56,2015-01-23T19:24:15+0000,"[(202, 0.94988525), (240, 0.04122156)]"
57,2013-02-13T12:55:50+0000,"[(149, 0.99503464)]"
58,2011-11-28T15:05:41+0000,"[(261, 0.9868945)]"
59,2017-10-23T20:11:12+0000,"[(82, 0.98553526)]"
60,2020-09-29T15:55:01+0000,"[(425, 0.9969572)]"
61,2014-01-02T12:38:05+0000,"[(219, 0.89507586), (449, 0.08959957)]"
62,2019-01-11T18:29:51+0000,"[(282, 0.9900197)]"
63,2016-12-14T04:06:02+0000,"[(257, 0.055724274), (261, 0.70943886), (393, 0.22387502)]"
64,2013-05-31T17:12:25+0000,"[(13, 0.98960394)]"
65,2020-04-13T21:08:49+0000,"[(19, 0.9207995), (275, 0.06076586), (286, 0.013609012)]"
66,2021-02-22T13:30:41+0000,"[(21, 0.9330065), (475, 0.058531586)]"
67,2014-04-07T20:24:50+0000,"[(30, 0.99292177)]"
68,2012-11-01T19:27:00+0000,"[(322, 0.045399807), (415, 0.9525206)]"
69,2007-05-04T02:46:24+0000,"[(15, 0.99602365)]"
70,2019-06-09T20:35:14+0000,"[(325, 0.99613094)]"
71,2020-02-14T16:54:58+0000,"[(387, 0.98619527), (476, 0.0109909205)]"
72,2009-07-28T16:50:50+0000,"[(110, 0.23387128), (283, 0.055666685), (394, 0.055666745), (429, 0.14426447), (435, 0.11122923), (453, 0.2888754), (499, 0.055642013)]"
73,2007-04-16T17:48:42+0000,"[(240, 0.9873667)]"
74,2017-10-24T09:26:38+0000,"[(44, 0.057534352), (169, 0.55918103), (339, 0.14016972), (448, 0.03559777), (449, 0.20117038)]"
75,2016-07-08T09:29:58-0400,"[(479, 0.9974135)]"
76,2011-09-07T14:51:39+0000,"[(41, 0.033997625), (91, 0.05894161), (163, 0.23329674), (248, 0.05893863), (355, 0.09692047), (451, 0.20440365), (458, 0.25549367)]"
77,2020-12-23T16:13:36+0000,"[(286, 0.99039567)]"
78,2012-07-18T16:51:47+0000,"[(1, 0.1613046), (17, 0.14698717), (110, 0.04013448), (133, 0.059706066), (180, 0.028706089), (192, 0.09391114), (296, 0.26606256), (355, 0.14058746), (394, 0.03675547)]"
79,2009-08-17T18:49:35+0000,"[(91, 0.17156501), (104, 0.2828379), (126, 0.14727552), (295, 0.15211008), (412, 0.109487504), (461, 0.07496601)]"
80,2019-01-21T14:51:25+0000,"[(95, 0.111236565), (168, 0.19329591), (329, 0.055610962), (338, 0.22237775), (378, 0.05563403), (408, 0.14520681), (476, 0.10474063), (489, 0.057217605)]"
81,2007-07-18T18:09:35+0000,"[(109, 0.8936213), (168, 0.04436842), (380, 0.03411008), (476, 0.018457782)]"
82,2020-06-09T06:27:35+0000,"[(132, 0.058153342), (145, 0.203142), (158, 0.22784351), (296, 0.20970371), (339, 0.13833067), (461, 0.107931376)]"
83,2020-06-29T23:01:54+0000,"[(33, 0.035925116), (37, 0.01906441), (219, 0.91337365), (237, 0.011476089), (348, 0.010164663)]"
84,2012-10-01T20:39:00+0000,
85,2010-06-28T18:32:18+0000,"[(72, 0.4037024), (153, 0.19050147), (392, 0.14902657), (453, 0.08490424), (493, 0.08934903)]"
86,2017-01-24T23:15:09+0000,"[(238, 0.45780605), (396, 0.5326811)]"
87,2015-02-13T22:39:51+0000,"[(31, 0.24668327), (44, 0.0531256), (255, 0.14693375), (360, 0.1068419), (492, 0.39430696)]"
88,2014-12-05T15:35:11+0000,"[(10, 0.056281403), (46, 0.05118884), (51, 0.6652175), (99, 0.112086155), (204, 0.03855315), (238, 0.041380197)]"
89,2016-09-20T11:24:53+0000,"[(477, 0.98767877)]"
90,2011-06-07T17:57:49+0000,"[(439, 0.9831229)]"
91,2021-10-18T08:00:25+0000,"[(150, 0.9796323)]"
92,2016-02-05T16:37:00+0000,"[(33, 0.9851042)]"
93,2015-10-12T05:13:49+0000,"[(358, 0.98865885)]"
94,2015-03-29T03:13:57+0000,"[(345, 0.9918194)]"
95,2012-10-02T18:23:00+0000,"[(37, 0.057012707), (98, 0.011625539), (273, 0.013765112), (280, 0.04348769), (461, 0.8564179)]"
96,2018-11-30T11:38:30+0000,"[(196, 0.9935611)]"
97,2016-07-22T11:44:12+0000,"[(153, 0.99608105)]"
98,2011-11-17T11:50:06+0000,"[(11, 0.11870732), (36, 0.2375868), (55, 0.23258166), (187, 0.062734604), (198, 0.13409789), (280, 0.15939388)]"
99,2021-02-19T16:48:01+0000,"[(445, 0.98960394)]"
100,2014-08-21T08:59:31+0000,"[(153, 0.19314061), (162, 0.44990897), (344, 0.1595781), (454, 0.045382902), (472, 0.11784852)]"
101,2018-02-13T05:00:00+0000,"[(82, 0.056264725), (102, 0.8335022), (108, 0.019048246), (214, 0.010261728), (412, 0.028559625), (472, 0.037281644)]"
102,2012-10-09T06:12:00+0000,"[(80, 0.9857415)]"
103,2008-03-18T01:15:41+0000,"[(17, 0.058310576), (37, 0.031801745), (44, 0.028564952), (70, 0.012067702), (133, 0.017302157), (145, 0.029921921), (308, 0.47995567), (322, 0.030200405), (328, 0.01871763), (384, 0.023443779), (415, 0.050507635), (444, 0.022981381), (448, 0.025845805), (458, 0.028582985), (484, 0.025327139)]"
104,2007-08-16T21:27:50+0000,"[(45, 0.082835324), (89, 0.032657005), (119, 0.06353828), (260, 0.15853654), (264, 0.030298952), (279, 0.031165358), (321, 0.09314441), (330, 0.045315612), (339, 0.34478906), (380, 0.05698309), (451, 0.03196715)]"
105,2015-10-16T17:21:29+0000,"[(279, 0.979208)]"
106,2017-11-08T12:52:00+0000,"[(86, 0.9818539)]"
107,2018-05-09T14:37:57+0000,"[(479, 0.9773161)]"
108,2017-04-27T19:23:42+0000,"[(32, 0.05434143), (234, 0.8839573), (326, 0.05484575)]"
109,2011-06-13T21:32:25+0000,"[(40, 0.1001105), (100, 0.19367217), (133, 0.13412361), (170, 0.14581066), (248, 0.15011667), (292, 0.06467267), (319, 0.055531207), (355, 0.05010145), (492, 0.056752052)]"
110,2016-07-21T18:59:41+0000,"[(23, 0.9934769)]"
111,2013-05-20T17:39:16+0000,"[(200, 0.9924386)]"
112,2020-09-06T18:58:46+0000,"[(103, 0.913653), (360, 0.029956043), (414, 0.01963293), (481, 0.022526342)]"
113,2017-06-26T15:12:46+0000,"[(46, 0.93321943), (481, 0.051688753)]"
114,2017-09-06T07:25:38+0000,"[(110, 0.98971057)]"
115,2011-08-16T01:13:41+0000,"[(216, 0.9883999)]"
116,2020-02-28T20:36:23+0000,"[(9, 0.9941627)]"
117,2011-03-30T20:25:57+0000,"[(328, 0.9961013)]"
118,2015-09-25T10:00:00+0000,"[(355, 0.992496)]"
119,2013-04-09T21:52:09+0000,"[(157, 0.16346566), (255, 0.8336782)]"
120,2007-11-12T14:23:23+0000,"[(276, 0.9948286)]"
121,2020-02-20T03:08:38+0000,"[(38, 0.99364287)]"
122,2008-06-11T16:42:59+0000,"[(72, 0.2663237), (135, 0.052714296), (233, 0.052724887), (260, 0.15374668), (386, 0.05793317), (439, 0.060607713), (487, 0.30400422)]"
123,2018-11-07T10:46:58+0000,"[(146, 0.9950098)]"
124,2013-03-11T16:59:38+0000,"[(199, 0.9422435), (339, 0.037835162)]"
125,2016-09-23T09:16:52+0000,"[(467, 0.987829)]"
126,2021-09-09T11:40:58+0000,"[(204, 0.11898761), (230, 0.37358057), (289, 0.10803565), (403, 0.10019052), (454, 0.20020056)]"
127,2011-05-19T17:45:37+0000,"[(158, 0.1682104), (181, 0.12757555), (187, 0.3255099), (189, 0.074181944), (332, 0.072700486), (430, 0.16594633)]"
128,2013-07-28T11:00:00+0000,"[(96, 0.9940593)]"
129,2016-08-20T08:11:46+0000,"[(154, 0.9948019)]"
130,2020-09-16T03:07:16+0000,"[(265, 0.993801)]"
131,2020-11-12T00:23:38+0000,"[(94, 0.98116845)]"
132,2008-03-14T09:54:35+0000,"[(74, 0.050264806), (98, 0.05767571), (111, 0.078570604), (138, 0.14554968), (328, 0.29420018), (361, 0.061313324), (365, 0.050580956), (400, 0.047710136), (416, 0.062971935), (417, 0.10447967)]"
133,2017-03-13T13:30:24+0000,"[(395, 0.8120396), (490, 0.1759449)]"
134,2019-03-27T16:51:47+0000,"[(98, 0.015745003), (105, 0.8854423), (138, 0.04098261), (344, 0.029115112)]"
135,2014-03-18T12:56:09+0000,"[(360, 0.975657)]"
136,2019-02-01T07:02:21+0000,"[(89, 0.07436403), (145, 0.15069824), (192, 0.091021806), (253, 0.071571216), (268, 0.045058124), (444, 0.045051344), (448, 0.4517998)]"
137,2016-09-09T09:17:00+0000,"[(135, 0.9853229)]"
138,2021-05-07T13:10:06+0000,"[(71, 0.9966369)]"
139,2017-01-30T14:06:33+0000,"[(91, 0.9846459)]"
140,2011-07-18T07:54:48+0000,"[(70, 0.04882598), (86, 0.052398764), (103, 0.16017613), (110, 0.114646606), (159, 0.045552947), (161, 0.04554452), (276, 0.055869695), (338, 0.055244353), (343, 0.050877865), (349, 0.04555136), (390, 0.17467092), (493, 0.10626352)]"
141,2021-02-11T21:53:14+0000,"[(343, 0.9951786)]"
142,2012-01-11T14:38:47+0000,"[(186, 0.98839515)]"
143,2017-02-02T23:10:50+0000,"[(13, 0.11757639), (33, 0.047710843), (108, 0.08259265), (151, 0.047717754), (189, 0.103156105), (231, 0.15985776), (253, 0.14297828), (340, 0.047708496), (440, 0.05533466), (481, 0.053441342), (492, 0.09534168)]"
144,2016-11-30T20:06:08+0000,"[(298, 0.9915414)]"
145,2018-06-06T16:30:41+0000,"[(447, 0.9924961)]"
146,2016-01-11T11:29:03-0500,"[(67, 0.030468462), (111, 0.6643999), (161, 0.010945906), (163, 0.026367053), (214, 0.035640795), (275, 0.011482222), (276, 0.045058213), (294, 0.012719449), (325, 0.02931049), (336, 0.011716071), (395, 0.013149762), (415, 0.016758155), (454, 0.01422129), (495, 0.015081436)]"
147,2014-11-29T12:21:36+0000,"[(181, 0.9833664)]"
148,2020-09-17T15:57:50+0000,"[(454, 0.9890327)]"
149,2011-02-07T23:10:42+0000,"[(414, 0.9879753)]"
150,2015-04-13T16:16:05+0000,"[(296, 0.015841708), (359, 0.04759382), (397, 0.04643839), (464, 0.884849)]"
151,2012-11-05T06:36:34+0000,"[(30, 0.13488764), (100, 0.133899), (103, 0.07526038), (265, 0.14212415), (298, 0.14849107), (301, 0.10614274), (382, 0.21393627)]"
152,2020-12-04T18:28:39+0000,"[(167, 0.056305367), (331, 0.76983374), (368, 0.1623189)]"
153,2020-10-14T09:48:51+0000,"[(225, 0.99316406)]"
154,2009-04-01T14:20:14+0000,"[(281, 0.9956033)]"
155,2016-07-08T13:34:27+0000,"[(147, 0.98532325)]"
156,2016-04-28T20:26:47+0000,"[(13, 0.108525984), (272, 0.88425624)]"
157,2012-10-08T10:56:30+0000,
158,2020-07-28T15:00:07+0000,"[(168, 0.99704707)]"
159,2018-02-26T06:41:19+0000,"[(95, 0.995484)]"
160,2009-08-20T15:32:56+0000,"[(232, 0.9914698)]"
161,2016-03-14T19:58:52+0000,"[(81, 0.9818539)]"
162,2016-12-12T20:19:03+0000,"[(27, 0.7316281), (99, 0.25090992), (339, 0.012691301)]"
163,2015-08-03T10:18:40+0000,"[(366, 0.98752475)]"
164,2010-11-12T18:28:03+0000,"[(24, 0.8085619), (49, 0.012413391), (107, 0.017300801), (273, 0.023835186), (276, 0.02072634), (397, 0.023926714), (449, 0.036861923), (475, 0.014792695)]"
165,2007-01-18T19:57:17+0000,"[(103, 0.9931183)]"
166,2016-10-12T09:45:55+0000,"[(154, 0.98574215)]"
167,2011-03-02T13:08:52+0000,"[(232, 0.9913214)]"
168,2011-06-11T19:58:27+0000,"[(6, 0.06680906), (139, 0.09527566), (207, 0.116786025), (214, 0.066779345), (225, 0.054982547), (303, 0.06680621), (396, 0.20016365), (412, 0.11132311), (418, 0.066802435), (451, 0.08892454)]"
169,2014-04-24T04:08:05+0000,"[(253, 0.9811696)]"
170,2012-07-10T18:59:14+0000,"[(18, 0.100201175), (57, 0.10020715), (98, 0.10895371), (145, 0.1914654), (238, 0.10662299), (282, 0.19374214), (449, 0.10019619)]"
171,2015-06-16T12:56:19+0000,"[(237, 0.9898161)]"
172,2009-09-25T13:31:52+0000,"[(33, 0.013586867), (98, 0.050006412), (146, 0.5143635), (321, 0.02712699), (325, 0.02998521), (340, 0.015861386), (341, 0.053813174), (458, 0.2923871)]"
173,2014-05-08T14:53:51+0000,"[(285, 0.9863891)]"
174,2009-07-14T20:07:09+0000,"[(156, 0.38988408), (162, 0.12314956), (273, 0.34946072), (449, 0.12540087)]"
175,2019-09-26T09:27:32+0000,"[(161, 0.9804311)]"
176,2013-02-28T11:47:45+0000,"[(37, 0.031546205), (91, 0.0103433775), (162, 0.039457235), (214, 0.016921189), (244, 0.7831889), (261, 0.013542281), (276, 0.014337365), (444, 0.0304844), (479, 0.052376978)]"
177,2012-09-24T21:22:51+0000,"[(71, 0.039538987), (139, 0.063306734), (146, 0.31336528), (170, 0.0367365), (231, 0.03861947), (358, 0.088651195), (359, 0.13509159), (402, 0.13743919), (499, 0.11556909)]"
178,2015-10-14T18:20:54+0000,"[(431, 0.9889109)]"
